County,City,Model Year,Make,Model,Electric Range,Legislative District,Electric Utility,Electric Vehicle Type_Battery Electric Vehicle (BEV),Electric Vehicle Type_Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle (CAFV) Eligibility_Clean Alternative Fuel Vehicle Eligible,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Eligibility unknown as battery range has not been researched,Clean Alternative Fuel Vehicle (CAFV) Eligibility_Not eligible due to low battery range,Cluster
46,825,0.5,32,102,0.2225519287833827,0.3333333333333333,37,True,False,True,False,False,0
46,825,0.8571428571428612,20,162,0.1008902077151335,1.0,37,False,True,True,False,False,0
229,579,0.6428571428571388,8,25,0.7062314540059348,0.4375,74,True,False,True,False,False,1
211,458,0.9285714285714306,5,88,0.0,0.6458333333333333,74,True,False,False,True,False,0
211,478,0.8571428571428612,13,66,0.0,0.7708333333333333,74,True,False,False,True,False,0
211,737,0.75,40,107,0.9554896142433236,0.8958333333333333,74,True,False,True,False,False,1
211,411,0.8214285714285694,40,110,0.0,0.8958333333333333,74,True,False,False,True,False,0
116,696,0.4285714285714306,32,102,0.2166172106824926,0.8333333333333333,75,True,False,True,False,False,0
176,648,0.9285714285714306,40,107,0.0,0.4999999999999999,15,True,False,False,True,False,0
214,750,0.8928571428571388,30,119,0.1127596439169139,0.1249999999999999,2,False,True,True,False,False,0
246,58,0.8571428571428612,40,110,0.0,0.8541666666666666,76,True,False,False,True,False,0
246,72,0.7857142857142918,40,107,0.0,0.8541666666666666,76,True,False,False,True,False,0
116,395,0.9642857142857082,40,110,0.0,0.9166666666666666,75,True,False,False,True,False,0
118,730,0.7857142857142918,40,107,0.0,0.4583333333333333,74,True,False,False,True,False,0
176,817,0.9642857142857082,40,110,0.0,0.5624999999999999,19,True,False,False,True,False,0
116,57,0.9285714285714306,45,182,0.1038575667655786,0.8333333333333333,75,False,True,True,False,False,0
229,402,0.75,8,25,0.7685459940652819,0.4375,74,True,False,True,False,False,1
209,17,0.8571428571428612,40,110,0.0,0.8124999999999999,74,True,False,False,True,False,0
176,285,0.8571428571428612,8,24,0.0,0.5208333333333333,19,True,False,False,True,False,0
119,235,0.8571428571428612,17,95,0.0,0.2499999999999999,74,True,False,False,True,False,0
214,323,0.9285714285714306,40,110,0.0,0.0625,2,True,False,False,True,False,0
21,388,0.6071428571428612,5,87,0.2136498516320474,0.1458333333333333,34,False,True,True,False,False,0
21,666,0.8571428571428612,19,178,0.0623145400593471,0.1458333333333333,12,False,True,False,False,True,0
229,579,0.5714285714285694,32,102,0.2492581602373887,0.4375,74,True,False,True,False,False,0
46,45,0.5357142857142918,13,30,0.0563798219584569,0.3541666666666667,37,False,True,False,False,True,0
116,217,0.8571428571428612,40,107,0.0,0.9166666666666666,75,True,False,False,True,False,0
46,825,0.75,8,25,0.7685459940652819,0.3333333333333333,37,True,False,True,False,False,1
116,806,0.8571428571428612,17,101,0.0,0.2083333333333333,75,True,False,False,True,False,0
116,36,0.8928571428571388,40,110,0.0,0.6041666666666666,75,True,False,False,True,False,0
116,662,0.8928571428571388,40,110,0.0,0.2083333333333333,75,True,False,False,True,False,0
